Id,Prediction
0,4041115.2066666665
1,3490347.533333333
2,3558987.94
3,3316845.8466666667
4,4355349.513333334
5,4404482.213333333
6,4249300.613333333
7,3476219.2333333334
8,4807663.92
9,4346701.373333333
10,5124457.3533333335
11,5309425.886666667
12,7242560.4
13,8805604.813333333
14,4227084.433333334
15,6289219.086666667
16,4661456.906666666
17,4140610.033333333
18,10794681.513333334
19,3626573.3
20,2330715.78
21,8772478.78
22,4608428.68
23,5425983.246666667
24,4971580.04
25,3819235.6066666665
26,3707177.86
27,5381210.82
28,4105984.8133333335
29,5405560.22
30,4291344.26
31,3289684.5933333333
32,2941780.993333333
33,5754281.06
34,2626860.033333333
35,8168178.433333334
36,4775140.32
37,5284353.28
38,3489361.3133333335
39,3268277.6466666665
40,4794783.466666667
41,4965068.873333333
42,5447481.34
43,5182649.6866666665
44,5922477.74
45,4637012.166666667
46,3504408.8333333335
47,2119393.1466666665
48,4819331.3
49,5040417.3
50,4380410.733333333
51,3642560.066666667
52,6364638.6466666665
53,3272110.566666667
54,3392665.06
55,5964823.193333333
56,6768557.573333333
57,4223860.193333333
58,4546139.1
59,5436501.753333333
60,2875256.8
61,3557956.2933333335
62,4277507.486666666
63,4435219.206666667
64,4960845.866666666
65,8525764.193333333
66,5052995.666666667
67,7230474.886666667
68,5159649.446666666
69,6267481.84
70,4255314.6466666665
71,2653411.96
72,4484030.293333333
73,5067429.913333333
74,5259955.846666667
75,4368756.6
76,5043689.113333333
77,4364574.453333333
78,5055250.946666666
79,4387109.273333333
80,5380172.753333333
81,7586625.346666667
82,3644836.34
83,4253244.106666666
84,6972037.3533333335
85,2017977.4133333333
86,5983574.14
87,9753034.76
88,4705342.72
89,3561346.42
90,5449376.093333334
91,4514832.746666667
92,3656462.453333333
93,4016351.993333333
94,7753453.453333333
95,3097095.1
96,4868667.446666666
97,4931997.553333334
98,5056392.006666667
99,5972064.606666666
100,7056135.32
101,2879114.8733333335
102,3893840.1933333334
103,3879268.42
104,4213283.773333333
105,3479305.1466666665
106,4850892.7
107,7276870.586666667
108,5535671.926666667
109,5382594.966666667
110,5445478.806666667
111,4112937.6666666665
112,6777691.626666667
113,5138435.726666667
114,4067845.94
115,4476212.466666667
116,3343436.6266666665
117,4818092.8
118,3555361.04
119,4709336.28
120,5163258.826666667
121,4904224.693333333
122,5590631.84
123,5083615.833333333
124,3146282.5933333333
125,4067824.3933333335
126,6570577.78
127,3674638.4
128,4965599.0
129,4962175.68
130,2616934.5866666664
131,5293614.066666666
132,5471549.82
133,3502852.1066666665
134,4952878.673333333
135,3943417.8
136,4318287.033333333
137,4429697.66
138,4446026.986666666
139,4740795.726666667
140,6359991.426666667
141,2737719.7933333335
142,5447848.126666667
143,2687155.966666667
144,6682650.733333333
145,4127375.5933333333
146,5089520.386666667
147,3595846.6333333333
148,4490566.86
149,4916921.66
150,4358014.913333333
151,2889830.1066666665
152,8490393.78
153,6067413.113333333
154,3347746.6333333333
155,5748297.08
156,4857606.593333334
157,7090972.54
158,3514694.62
159,4042792.56
160,2901000.493333333
161,5176421.7
162,4270743.3533333335
163,9226975.193333333
164,7101641.66
165,3213276.526666667
166,4467249.193333333
167,4186876.88
168,6057613.026666666
169,4961952.293333333
170,4000336.8333333335
171,3425095.52
172,3531786.7333333334
173,7769566.48
174,6735382.693333333
175,2945955.3466666667
176,8763362.826666666
177,6761267.713333333
178,4229815.8
179,3514622.1133333333
180,4765273.373333333
181,4286974.133333334
182,5399946.226666667
183,4156998.5
184,5291388.286666667
185,3785034.92
186,4414141.513333334
187,5863806.373333333
188,5420640.973333334
189,4720269.626666667
190,4578865.2
191,5086154.44
192,6459443.1866666665
193,6870125.573333333
194,6437438.453333333
195,8799182.813333333
196,4212670.726666667
197,2148338.62
198,3519402.1466666665
199,6573404.373333333
200,4470180.986666666
201,3699457.993333333
202,4620724.793333333
203,7511988.553333334
204,5235980.033333333
205,7767322.753333333
206,5836858.046666667
